ID,airport_name,type,country,lat,long,elevation,service
313437,Kampot Airport,closed,KH,10.6343,104.1617,44.0,no
605566,Chip Mong Heliport,heliport,KH,11.523714,104.922565,20.0,no
343796,Kuala Batu Airport,small_airport,ID,3.735749,96.790109,3.0,no
44572,Kimaam Airport,small_airport,ID,-7.97789,138.851776,26.0,no
430337,Khoksa Airfield,small_airport,LA,18.068039,102.910591,,no
430434,Bokeo International Airport,medium_airport,LA,20.323986,100.165392,1175.0,yes
508578,Above Laos Ballooning,balloonport,LA,18.911778,102.405238,873.0,no
42456,Hanthawaddy International Airport (under construction),closed,MM,17.3005,96.4276,138.0,no
42457,Hinthada Airport,small_airport,MM,17.633329391500002,95.4666976929,32.0,no
603355,Hanthawaddy International Airport (Under Construction),closed,MM,17.300476,96.427308,,no
339962,Cameron Highlands Airstrip,small_airport,MY,4.440291,101.421724,,no
339977,KD Sultan Ismail Heliport,heliport,MY,1.372145,104.093959,,no
339978,KD Malaya Heliport,heliport,MY,4.23302,100.61787,,no
354857,Istana Negara Helipad,heliport,MY,3.161877,101.666788,,no
41346,Hunter (Morotai) Airport,small_airport,MY,4.41038990020752,117.78700256347656,175.0,no
41347,Jeroco Airport,small_airport,MY,5.406111240386963,118.3963851928711,60.0,no
41348,Kelabakan Airport,small_airport,MY,4.416388988494873,117.49639129638672,257.0,no
41349,Kuala Kahaba Airport,small_airport,MY,5.11638879776001,116.14666748046876,1250.0,no
41350,Kuala Medamit Airport,small_airport,MY,4.466390132904053,114.91300201416016,50.0,no
354864,KLATCC Heliport,heliport,MY,2.764049,101.701175,,no
354866,Johor Polo Club Helipad,heliport,MY,1.479169,103.78247,,no
356343,Genting Heliport,heliport,MY,3.42491,101.7914,,no
356347,Felda Air Tawar Airport,closed,MY,1.67001,104.02488,,no
356348,Felda Lok Heng Airport,small_airport,MY,1.6945,104.08725,,no
356349,Felda Semenchu Airport,closed,MY,1.58898,104.16391,,no
32661,Bentong Airport,closed,MY,3.550811,101.894041,350.0,no
41314,Genting Airport,closed,MY,2.11666703224,111.699996948,13.0,no
41322,Bahau Airport,closed,MY,2.81667,102.417,214.0,no
301254,Boun Neau Airport,small_airport,LA,21.6475,101.9,3050.0,no
308653,Azagra Airstrip,small_airport,PH,12.2799,122.6246,10.0,no
321220,Don Jesus Soriano (Doña Rosario) Airstrip,small_airport,PH,9.16944,125.56027,59.0,no
325553,Chevron Terminal Heliport,heliport,PH,13.78246,121.022376,,no
325554,Cochem Heliport (Danglayan),heliport,PH,13.78058,121.01412,,no
325565,JG Summit Olefins Corporation (Pinamucan) Helipad,heliport,PH,13.677734,121.056255,,no
325566,Himmel Industries Tank Farm Heliport,heliport,PH,13.687759,121.050983,,no
325574,KEPCO Ilijan Power Plant Heliport,heliport,PH,13.62061,121.076908,,no
325585,Bayview Accommodations Heliport,heliport,PH,13.92418,121.704224,,no
325711,Dinapigue Airstrip,small_airport,PH,16.521518,122.264357,,no
325757,Bauang Power Plant Heliport,heliport,PH,16.489863,120.32767,,no
325758,Bauang Power Plant Helipad,heliport,PH,16.490059,120.326997,,no
325770,Baquioen Heliport,heliport,PH,16.084522,120.110154,,no
325809,Bataan Nuclear Power Plant Heliport,heliport,PH,14.630793,120.315316,,no
325865,Joy-Nostalg Heliport,heliport,PH,14.587555,121.060106,,no
325875,BDO Corporate Center Heliport,heliport,PH,14.585865,121.059189,,no
325876,Discovery Suites Heliport,heliport,PH,14.585852,121.060233,,no
325884,iSquare Heliport,heliport,PH,14.5856,121.06338,,no
325887,Eton Cyberpod Helipads,heliport,PH,14.592181,121.060324,,no
325895,CCP Open Grounds Heliport,heliport,PH,14.552598,120.983714,20.0,no
325896,Conrad Manila Hotel Heliport,heliport,PH,14.531926,120.980394,,no
325906,Fort San Felipe Naval Logistics Center Heliport,heliport,PH,14.483864,120.917295,3.0,no
325908,Capipisa (Tanza) Heliport,heliport,PH,14.348114,120.781138,,no
